ID, CC_area, CC_perimeter, CC_circularity, CC_length, W1, W2, W3, W4, W5, W6, W7
./Caltech/0051456/session_1/anat_1/abide_cc, 646.25, 208.77, 0.186321,  72.5,  13.00, 139.75,  88.75,  84.25,  58.50,  50.50, 211.50
./Caltech/0051457/session_1/anat_1/abide_cc, 638.50, 216.94, 0.170480,  79.5,  26.50, 161.75,  94.25,  70.00,  54.00,  56.75, 175.25
./Caltech/0051458/session_1/anat_1/abide_cc, 610.75, 205.70, 0.181383,  75.5,   8.50, 118.75, 103.25,  68.75,  63.50,  57.00, 191.00
./Caltech/0051459/session_1/anat_1/abide_cc, 649.00, 213.80, 0.178414,  78.5,  30.25, 151.25,  99.25,  64.25,  44.50,  55.25, 204.25
./Caltech/0051460/session_1/anat_1/abide_cc, 633.75, 203.80, 0.191738,  68.5,  36.00, 135.75,  85.75,  72.00,  63.50,  50.75, 190.00
./Caltech/0051461/session_1/anat_1/abide_cc, 404.75, 192.56, 0.137172,  68.5,  25.75,  80.00,  75.50,  55.75,  49.25,  29.75,  88.75
./Caltech/0051462/session_1/anat_1/abide_cc, 787.00, 225.29, 0.194854,  79.5,  39.25, 163.50, 120.75,  89.25,  78.25,  67.00, 229.00
./Caltech/0051463/session_1/anat_1/abide_cc, 789.25, 224.77, 0.196307,  79.5,  38.25, 187.25, 107.75,  81.00,  83.50,  69.50, 222.00
./Caltech/0051464/session_1/anat_1/abide_cc, 645.25, 215.05, 0.175339,  78.5,  31.75, 170.75,  92.00,  80.50,  58.75,  51.50, 160.00
./Caltech/0051465/session_1/anat_1/abide_cc, 737.50, 239.62, 0.161405,  81.5,  37.25, 158.00, 119.00,  89.00,  76.75,  54.50, 203.00
./Caltech/0051466/session_1/anat_1/abide_cc, 514.00, 194.34, 0.171024,  72.0,  12.25, 102.75,  84.50,  64.50,  51.50,  43.00, 155.50
./Caltech/0051467/session_1/anat_1/abide_cc, 723.75, 216.77, 0.193547,  74.5,  35.50, 182.75,  91.50,  78.00,  64.50,  66.00, 205.50
./Caltech/0051468/session_1/anat_1/abide_cc, 728.50, 218.70, 0.191396,  78.5,  29.50, 157.75, 116.75,  95.75,  69.50,  62.00, 197.25
./Caltech/0051469/session_1/anat_1/abide_cc, 583.00, 217.43, 0.154967,  74.0,  42.00, 126.75,  92.25,  68.00,  60.50,  42.75, 150.75
